run_id,last_loss,RMS,Rel,delta1,delta2,delta3
0045,0.0002640826569404453,0,0,0,0,0
0048,0.00029116234509274364,0,0,0,0,0
0049,0.00026643442106433213,0,0,0,0,0
0050,0.3456633388996124,0,0,0,0,0
0051,0.572524905204773,0,0,0,0,0
0052,0.1406192034482956,0,0,0,0,0
0053,0.2711224853992462,0,0,0,0,0
0054,0.9293469786643982,0,0,0,0,0
0100,0.29395830631256104,0,0,0,0,0
0101,0.13035447895526886,0,0,0,0,0
0265,0.16802595555782318,0,0,0,0,0
0393,0.12461701035499573,0,0,0,0,0
0400,0.004266212694346905,0,0,0,0,0
0437,0.4253388047218323,0,0,0,0,0
0578,0.0009149814140982926,0,0,0,0,0
0674,0.005293051712214947,0,0,0,0,0
0792,0.6815729737281799,0,0,0,0,0
0885,0.005962456110864878,0,0,0,0,0
0954,0.7213218212127686,0,0,0,0,0
1029,0.26720282435417175,0,0,0,0,0
AVERAGE,0.25444637340842746,0.0,0.0,0.0,0.0,0.0
